,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400
0.0,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.1,0.0,0.0,9.91,19.91,29.91,39.91,49.91,59.82,69.82,79.82,89.82,99.73,109.73,119.73,129.73,139.64,149.64,159.64,169.55,179.55,189.55,199.55,209.46,219.46,229.46,239.46,249.37,259.37,269.37,279.37,289.28,299.28,309.28,319.28,329.28,339.19,349.19,359.19,369.19,379.1,389.1
0.2,390.0,390.0,9.91,9.91,9.91,9.91,9.91,59.82,59.82,79.82,89.82,99.73,109.73,119.73,129.73,139.64,149.64,159.64,169.55,179.55,189.55,199.55,209.46,219.46,229.46,239.46,249.37,259.37,269.37,279.37,289.28,299.28,309.28,319.28,329.28,339.19,349.19,359.19,369.19,379.1,389.1
0.3,400.0,400.0,399.91,399.91,399.91,399.91,399.91,399.82,399.82,399.82,399.82,399.73,399.73,399.73,399.73,399.64,399.64,399.64,399.55,399.55,399.55,399.55,399.46,399.46,399.46,399.46,399.37,399.37,399.37,399.37,399.28,399.28,399.28,399.28,399.28,399.19,399.19,399.19,399.19,399.1,399.1
0.4,400.0,400.0,399.91,399.91,399.91,399.91,399.91,399.82,399.82,399.82,399.82,399.73,399.73,399.73,399.73,399.64,399.64,399.64,399.55,399.55,399.55,399.55,399.46,399.46,399.46,399.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.5,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.6,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.7,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,389.28,389.28,389.28,389.28,389.28,389.19,389.19,389.19,389.19,389.1,389.1
0.8,390.0,390.0,389.91,389.91,389.91,389.91,389.91,389.82,389.82,389.82,389.82,389.73,389.73,389.73,389.73,389.64,389.64,389.64,389.55,389.55,389.55,389.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.9,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
1.0,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
